uid	en	n_keys	pkgs	cls	flags
u00031	Must not already be present	10	SemiceMod	tip	
u00032	Reminder: Interact with rechargeable units to refill their energy.	10	FULLMap|MapMod|SemiceMod	trigger-text	
u00033	 has escaped!	9	FULLMap|MapMod|SemiceMod	trigger-text	
u00034	Alpha Zombie	9	FULLMap|MapMod|SemiceMod	trigger-text	
u00035	Games Played (Human)	9	FULLMap|MapMod|SemiceMod	trigger-text	
u00036	Limit 1	9	SemiceMod	tip	
u00037	Marine	9	SemiceMod	name	
u00038	Ranks (Human)	9	FULLMap|MapMod|SemiceMod	trigger-text	
u00039	Unable to locate cocoon (Security Mainframe compromised)	9	FULLMap|MapMod|SemiceMod	trigger-text	
u00040	Warning: Subterranean organism has been detected burrowing towards the surface	9	FULLMap|MapMod|SemiceMod	trigger-text	
u00041	 changed.	8	FULLMap|MapMod	trigger-text	
u00042	 has destroyed the Virophage at the 	8	FULLMap|MapMod	trigger-text	
u00043	Enable Broodling	8	FULLMap|MapMod	name	
u00044	Extractors can be destroyed instantly using Psi Disrupters or Mining Charges.	8	FULLMap|MapMod	trigger-text	
u00045	Frenzy	8	SemiceMod	name	
u00046	Gas Cloud	8	FULLMap|MapMod	name	
u00047	Produces 250 gas over 20 minutes.	8	SemiceMod	tip	
u00048	Psi Blades	8	FULLMap|MapMod	name	
u00049	Reduced Armor	8	SemiceMod	tip	
u00050	Secure	8	FULLMap|MapMod|SemiceMod	trigger-text	
u00051	Sluggish Claws	8	FULLMap|MapMod	name	
u00052	Stats	8	FULLMap|MapMod|SemiceMod	trigger-text	
u00053	Vespene Mine	8	FULLMap|MapMod|SemiceMod	trigger-text	
u00054	WARNING: A massive cocoon has been detected in an infested region.	8	FULLMap|MapMod	trigger-text	
u00055	You must research this upgrade	8	SemiceMod	trigger-text	
u00056	-kick [player index] : votes to kick the specified player<n/>-players : displays all players and their indexes<n/>-stats [player index]: Displays a players stats for this match<n/>-lifestats [player index]: Displays a player's recorded stats over all matches played (Does not include current match)<n/>-afk: Orders your marine to automitically mine the nearest route, cancled bu attack-moving, holding position, or repeating the comand<n/>-medics: pings all medics on the map<n/>-mines: pings all vespene mines on the map<n/>-refineries: pings all vespene refineries on the map<n/>-weapons lockers: pings all weapons lockers on the map<n/>-hangars: pings all hangars on the map	7	FULLMap|MapMod|SemiceMod	trigger-text	
u00057	Face Enemy	7	SemiceMod	name	
u00058	Ignores 50% of armor	7	SemiceMod	tip	
u00059	Must be near a weapons locker	7	SemiceMod	tip	
u00060	Strains	7	FULLMap|MapMod|SemiceMod	trigger-text	
u00061	Sub Level Exit	7	SemiceMod	name	
u00062	Sub Level Exit Bug Fix	7	SemiceMod	name	
u00063	Virophage spawned. Door will be destroyed in 	7	FULLMap|MapMod|SemiceMod	trigger-text	
u00064	Virophages can be instantly destroyed using Psi Disrupters or Mining Charges.	7	FULLMap|MapMod|SemiceMod	trigger-text	
u00065	Warning: A nydus worm has breached the surface.	7	FULLMap|MapMod|SemiceMod	trigger-text	
u00066	 Launch in:	6	FULLMap|MapMod	trigger-text	
u00067	 departing in 	6	FULLMap|MapMod	trigger-text	
u00068	 has been rescued by 	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00069	 has broken free of a cocoon!	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00070	 has destroyed a royal cocoon! Preventing the Hive Queen from spawning!	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00071	 has opened. 	6	FULLMap|MapMod	trigger-text	
u00072	 has slain a Genesplicer!	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00073	 has slain a Geneweaver!	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00074	 has slain a Hunter!	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00075	 has slain a Legion Zombie!	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00076	 has slain a Legionnaire Zombie!	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00077	 has slain a Predator!	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00078	 has slain an Aberration!	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00079	 has slain an Abomination!	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00080	 has slain an Anubalight!	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00081	 has slain an Anubalisk!	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00082	 has slain an Oculus!	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00083	 has slain the Hive Queen!	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00084	 vespene from creep tower...	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00085	 vespene...	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00086	 will depart in 	6	FULLMap|MapMod	trigger-text	
u00087	. Estimated time to structural collapse: 	6	FULLMap|MapMod	trigger-text	
u00088	Auto-Turret Upgrade	6	SemiceMod	name	
u00089	Bio Mechanical Drone Upgrade	6	SemiceMod	name	
u00090	Cloaking Maneuver	6	FULLMap|MapMod	name	
u00091	Close Menu	6	FULLMap|MapMod	trigger-text	
u00092	Cocoons	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00093	Containment Breach	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00094	Containment Facility re-infested. Escaped specimens returning to sub-level.	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00095	Containment Facility uninfested. Specimen countermeasures deployed. Four of five escaped specimens incapacitated.	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00096	Contributions	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00097	Deadly specimens have been released from the Containment Facility, use extreme caution while entering zombie territory.	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00098	Disable Auto-Upgrade	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00099	Failed to load fuel	6	SemiceMod	trigger-text	
u00100	Fuel Distribution Center re-infested. Divert fuel only speeds up launch countdown by 45 seconds.	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00101	Fuel Distribution Center uninfested. Diverting fuel will now speed up launch countdown by 60 seconds.	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00102	Fuel Distribution Center:	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00103	Gate control re-infested. All gates are unresponsive and randomly opening and closing.	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00104	Gate control uninfested. Gate functionality restored, gate integrity cannot be restored past 50% remotely.	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00105	Hive Queen	6	SemiceMod	name	
u00106	Micro Parasites	6	SemiceMod	name	
u00107	Plasma Rifle	6	FULLMap|MapMod|SemiceMod	name	
u00108	Primary Power Generator re-infested. Generator functionality lost.	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00109	Primary Power Generator uninfested. Rolling power outages stopped.	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00110	Recharge	6	SemiceMod	name	
u00111	Recovering cocoon biomass of 	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00112	Secondary generator's infested. Hive mind can now control power outages.	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00113	The creep has evolved to regenerate zombie units.	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00114	The creep has evolved to reinforce structures and build them more quickly.	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00115	Vespene Processing Facility	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00116	WARNING: A Virophage is breaking down the door to the 	6	FULLMap|MapMod	trigger-text	
u00117	WARNING: An Alpha Zombie has emerged from its cocoon.	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00118	Warning: A creep tower has breached the surface.	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00119	Zombies have evolved to move faster on creep.	6	FULLMap|MapMod|SemiceMod	trigger-text	
u00120	:	5	FULLMap|MapMod|SemiceMod	trigger-text	no-letters,punct-only
u00121	Activate Thrusters	5	SemiceMod	name	
u00122	"Air unit. Bounces its shot to strike multiple targets.<n/><n/><c val=""ffff8a"">Can attack ground and air units.</c>"	5	SemiceMod	tip	
u00123	CLASS ONE INFESTATION	5	FULLMap|MapMod|SemiceMod	trigger-text	
u00124	Close Stats	5	FULLMap|MapMod|SemiceMod	trigger-text	
u00125	Disable Auto-Harvesting	5	FULLMap|MapMod|SemiceMod	trigger-text	
u00126	Disabled	5	FULLMap|MapMod|SemiceMod	visible-other	
u00127	Does Not Have Blight Bringer Acid	5	SemiceMod	name	
u00128	Does Not Have Monstrosity Acid	5	SemiceMod	name	
u00129	Excavation Zone	5	FULLMap|MapMod|SemiceMod	trigger-text	
u00130	Fuel Distribution Infested	5	FULLMap|MapMod|SemiceMod	trigger-text	
u00131	Games Played: 	5	FULLMap|MapMod|SemiceMod	trigger-text	
u00132	Hive Queen<n/>	5	FULLMap|MapMod|SemiceMod	trigger-text	
u00133	Impaled	5	SemiceMod	name	
u00134	Lurker DoT (Apply Behavior)	5	SemiceMod	name	
u00135	Monstrosity	5	SemiceMod	name	
u00136	Oculus	5	SemiceMod	name	
u00137	Phasesaber	5	SemiceMod	name	
u00138	Processing Facilities	5	FULLMap|MapMod|SemiceMod	trigger-text	
u00139	Queen MPEnsnare Apply	5	SemiceMod	name	
u00140	Reinforce	5	SemiceMod	name	
u00141	Security Mainframe	5	FULLMap|MapMod|SemiceMod	trigger-text	
u00142	Security Mainframe Infested	5	FULLMap|MapMod|SemiceMod	trigger-text	
u00143	Spawn Aberration	5	FULLMap|MapMod|SemiceMod	name	
u00144	Spec Ops Psi Disruptor	5	SemiceMod	name	
u00145	Spec Ops Sentry Gun	5	SemiceMod	name	
u00146	Zombie	5	FULLMap|MapMod|SemiceMod	visible-other	
u00147	 Hive mind has siphoned fuel, delaying fueling process by 	4	FULLMap|MapMod	trigger-text	
u00148	 has destroyed a queen's cocoon! Preventing the Hive Queen from evolving!	4	FULLMap|MapMod	trigger-text	
u00149	 has destroyed a queen's cocoon! Preventing the Queen from evolving!	4	FULLMap|MapMod	trigger-text	
u00150	 has destroyed the Extractor in the Excavation Zone!	4	FULLMap|MapMod	trigger-text	
u00151	 has destroyed the Extractor in the Manufacturing Sector!	4	FULLMap|MapMod	trigger-text	
u00152	 has destroyed the Extractor in the Processing Facilities!	4	FULLMap|MapMod	trigger-text	
u00153	 has slain a Dreamcatcher!	4	FULLMap|MapMod	trigger-text	
u00154	 has slain a Dreamhacker!	4	FULLMap|MapMod	trigger-text	
u00155	 has slain an Overseer!	4	FULLMap|MapMod	trigger-text	
u00156	 has slain the Queen!	4	FULLMap|MapMod	trigger-text	
u00157	 more seconds before starting another vote	4	FULLMap|MapMod	trigger-text	
u00158	 now controls the horde	4	FULLMap|MapMod|SemiceMod	trigger-text	
u00159	: 	4	FULLMap|MapMod	trigger-text	no-letters,punct-only
u00160	Advanced Shield Suit	4	SemiceMod	name	
u00161	Assault Rifle	4	SemiceMod	name	
u00162	Biohazard	4	FULLMap|MapMod	name	
u00163	Brood Lord Siege	4	FULLMap|MapMod	name	
u00164	BroodlingImpactTint (Unnamed)	4	FULLMap|MapMod	name	
u00165	Concussed	4	SemiceMod	name	
u00166	Containment Facilities: 	4	FULLMap|MapMod	trigger-text	
u00167	Containment Facility	4	FULLMap|MapMod|SemiceMod	trigger-text	
u00168	Cosmetics	4	FULLMap|MapMod	trigger-text	
u00169	Create Real Ping (Tutorial)	4	FULLMap|MapMod	trigger-text	
u00170	Creep Tumor Copy	4	SemiceMod	name	
u00171	Debilitating Acid	4	SemiceMod	name	
u00172	Devastator	4	SemiceMod	name	
u00173	Devourer	4	SemiceMod	name	
u00174	Door Control Failure	4	FULLMap|MapMod	trigger-text	
u00175	Doors are unresponsive. Door integrity at 50%.	4	FULLMap|MapMod	trigger-text	
u00176	Dreamcatcher	4	FULLMap|MapMod	name	
u00177	Enabled	4	FULLMap|MapMod	visible-other	
u00178	Extractors can be destroyed instantly using Psi Disrupters or Mining Charges	4	SemiceMod	trigger-text	
u00179	Freezing	4	SemiceMod	name	
u00180	Fuel Deposited	4	FULLMap|MapMod|SemiceMod	trigger-text	
u00181	Gate Control System: 	4	FULLMap|MapMod	trigger-text	
u00182	Genesplicer	4	SemiceMod	name	
u00183	Help	4	FULLMap|MapMod	trigger-text	
u00184	Homeostasis	4	FULLMap|MapMod	name	
u00185	Human rank of 	4	FULLMap|MapMod	trigger-text	
u00186	If you lose this match, it will not count towards your games played as a zombie player.	4	FULLMap|MapMod|SemiceMod	trigger-text	
u00187	Infest room near refinery	4	SemiceMod	tip	
u00188	Infestation has overridden all security gate controls. 	4	FULLMap|MapMod	trigger-text	
u00189	Infested	4	FULLMap|MapMod|SemiceMod	trigger-text	
u00190	Is Healing	4	SemiceMod	name	
u00191	Limit 6	4	FULLMap|MapMod|SemiceMod	tip	
u00192	Limit of 1	4	SemiceMod	tip	
u00193	Malfunction	4	SemiceMod	name	
u00194	Match is almost over: if you play this match to conclusion, you will also get a victory as a human, regardless if humans win.	4	FULLMap|MapMod|SemiceMod	trigger-text	
u00195	Medic Shield Equipped	4	SemiceMod	name	
u00196	Mend Copy	4	SemiceMod	name	
u00197	Monsters have been released into the sub-level.	4	FULLMap|MapMod	trigger-text	
u00198	Nothing can burrow past the inner hangar gates...	4	FULLMap|MapMod	trigger-text	
u00199	Ocular Parasite	4	SemiceMod	name	
u00200	Only 	4	FULLMap|MapMod	trigger-text	
u00201	Optical Visor Equipped	4	SemiceMod	name	
u00202	Overseer	4	FULLMap|MapMod	name	
u00203	Pings	4	FULLMap|MapMod	trigger-text	
u00204	Poison (Apply Behavior)	4	SemiceMod	name	
u00205	Poisoned	4	SemiceMod	name	
u00206	Power Generator	4	FULLMap|MapMod|SemiceMod	trigger-text	
u00207	Power Generator Failure	4	FULLMap|MapMod	trigger-text	
u00208	Power Generators: 	4	FULLMap|MapMod	trigger-text	
u00209	Processors infested. Hive mind can now remotely lock gates.	4	FULLMap|MapMod	trigger-text	
u00210	Psi Disruptor Upgrade	4	SemiceMod	name	
u00211	Recharge Drone	4	SemiceMod	name	
u00212	Reduced Movement Speed	4	SemiceMod	tip	
u00213	Rocket Launcher	4	SemiceMod	name	
u00214	Salvage	4	SemiceMod	name	
u00215	Score	4	FULLMap|MapMod|SemiceMod	trigger-text	
u00216	Scores	4	FULLMap|MapMod	trigger-text	
u00217	Security Mainframe:	4	FULLMap|MapMod|SemiceMod	trigger-text	
u00218	Self Destruct	4	SemiceMod	name	
u00219	Shield Suit	4	SemiceMod	name	
u00220	Spawn Blood Zombies	4	SemiceMod	name	
u00221	Spawns per 5 seconds: 	4	FULLMap|MapMod	trigger-text	
u00222	Specimen Containment Breach. 	4	FULLMap|MapMod	trigger-text	
u00223	Stop (Fake Move)	4	FULLMap|MapMod	name	
u00224	Sub-Level	4	FULLMap|MapMod|SemiceMod	trigger-text	
u00225	Subterranean Organism	4	SemiceMod	name	
u00226	Suicide Monstrosity	4	SemiceMod	name	
u00227	Super Heal	4	SemiceMod	name	
u00228	Surrender	4	FULLMap|MapMod	trigger-text	
u00229	Tar Pit	4	FULLMap|MapMod	name	
u00230	Text commands	4	FULLMap|MapMod	trigger-text	
u00231	The creep has evolved to become toxic to non-zombies.	4	FULLMap|MapMod	trigger-text	
u00232	Tiny parasites are crawling over your suit, disabling your abilities and slowing movement and attack speed.	4	SemiceMod	tip	
u00233	Toxic Parasites	4	SemiceMod	name	
u00234	Toxic Parasites (Apply Behavior)	4	SemiceMod	name	
u00235	Turrets Built:	4	FULLMap|MapMod|SemiceMod	trigger-text	
u00236	Virulent Creep	4	SemiceMod	name	
u00237	WARNING: A massive cocoon has been detected in an infested region	4	SemiceMod	trigger-text	
u00238	You must wait 	4	FULLMap|MapMod	trigger-text	
u00239	Zombie rank of 	4	FULLMap|MapMod	trigger-text	
u00240	end	4	FULLMap|MapMod	trigger-text	
u00241	 has been captured and encased in a cocoon.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00242	 has continued to kill allied forces, and has been fed to the zombies. Kick options are available in the stat menu.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00243	 has killed a unit belonging to	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00244	 has opted in	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00245	 has prevented anybody from escaping!	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00246	 has voted to kick 	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00247	 seconds. Divert fuel will only speed up fueling time by 30 seconds.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00248	 vespene from Sunken Colony...	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00249	 vespene from Virophage...	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00250	 was able to escape!	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00251	1	3	FULLMap|MapMod|SemiceMod	trigger-text	no-letters
u00252	2	3	FULLMap|MapMod|SemiceMod	trigger-text	no-letters
u00253	3	3	FULLMap|MapMod|SemiceMod	trigger-text	no-letters
u00254	"<c val=""FFFF00"">Automatically done when right-clicking a target.</c><n/><n/>On weapons locker: Refills item charges.<n/><n/>On maintenance shafts: Descend to the sub-level/main level.<n/><n/>On gates: Open/close.<n/><n/>On human cocoons: Free a teammate.<n/><n/>On energy-based security units: Refills energy."	3	SemiceMod	tip	
u00255	A Legion Zombie has hatched from its cocoon.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00256	A Psi Disrupter has been charging in an infested room for 25 seconds.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00257	A Psi Disrupter has been charging in an infested room for 50 seconds.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00258	A Psi Disrupter has been charging in an infested room for 75 seconds.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00259	A Psi Disrupter is charging up in an infested room.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00260	A Psi Disrupter is disrupting the infestation in a room.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00261	"A cloaked scout.<n/>Limit of 3.<n/><s val=""IdleButtonCharge""><c val=""FF8000"">""It's basically an RC car with a camera attached.""<n/>                     --Dr. Andrew O'Neil</c></s>"	3	SemiceMod	tip	
u00262	"A long-ranged weapon which fires powerful rockets. Excellent against armored zombies.<n/><s val=""IdleButtonCharge""><c val=""FF8000"">""That's the second one who's tried jumping and aiming these at the ground this week.""<n/>                     --Medic Miranda Johnson</c></s>"	3	SemiceMod	tip	
u00263	"A mid-ranged weapon with a fast rate of fire. <n/><s val=""IdleButtonCharge""><c val=""FF8000"">""This weapon will be your bread and butter when facing any enemy that could threaten this facility. I named mine Sally.""<n/>                     --Sgt. Williams, briefing new recruits</c></s>"	3	SemiceMod	tip	
u00264	A new strain of zombie has been detected.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00265	A player has left the game, providing additional vespene as compensation.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00266	"A powerful long-range weapon. Excellent against Alpha Zombies and armored zombies. The scope also increases vision.<n/><s val=""IdleButtonCharge""><c val=""FF8000"">""How is it built? Magnifying glasses. Lots of magnifying glasses.""<n/>                     --Dr. Andrew O'Neil</c></s>"	3	SemiceMod	tip	
u00267	"A powerful, short-ranged area weapon. Excellent against light units. <n/><c val=""EEEE00"">Note: Uses energy to fire.</c><n/><s val=""IdleButtonCharge""><c val=""FF8000"">""IT JUST TICKLES THEM!""<n/>                     --Cpl. Franklin, fighting alpha zombies with a flamethrower</c></s>"	3	SemiceMod	tip	
u00268	A.I. Assistant Equipped	3	SemiceMod	name	
u00269	Advanced Auto Turret	3	SemiceMod	name	
u00270	Advanced Exploration Droid	3	SemiceMod	name	
u00271	Advanced Motion Sensor	3	SemiceMod	name	
u00272	Amon's Train Ignore Terrain Height	3	SemiceMod	name	
u00273	An Aberration has hatched from its cocoon.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00274	An Abomination has hatched from its cocoon.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00275	An Anubalight has hatched from its cocoon.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00276	An Anubalisk has hatched from its cocoon.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00277	An Oculus has hatched from its cocoon.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00278	"An experimental siege tank which runs on energy and uses your marine as a battery. The ares has powerful, long range, area of effect attacks and increased damage towards structures.<n/><c val=""EEEE00"">Note: The mech's energy can be recharged at weapons lockers.</c><n/><c val=""EEEE00"">Note: Your marine will lose all energy upon exiting the mech.</c><n/><s val=""IdleButtonCharge""><c val=""FF8000"">""Board says I can't make a giant mech...I'll show them...""<n/>                 --Engineer Dave</c>"	3	SemiceMod	tip	
u00279	Arc Welder	3	SemiceMod	name	
u00280	Arc Welder Equipped	3	SemiceMod	name	
u00281	Artillery Strike	3	SemiceMod	name	
u00282	Assault Rifle Equipped	3	SemiceMod	name	
u00283	Attack Copy	3	SemiceMod	name	
u00284	"Attacks nearby zombies. Can be upgraded.<n/>Limit of 6.<n/><c val=""EEEE00"">Note: Turrets attack slower on creep.</c><n/><s val=""IdleButtonCharge""><c val=""FF8000"">""The friend-or-foe identification is a little wonky. Just don't call it any names or say the word 'brains' and you should be fine.""<n/>                     --Dr. Andrew O'Neil</c></s>"	3	SemiceMod	tip	
u00285	Automated defensive turret. Attack speed reduced when on creep.	3	SemiceMod	tip	
u00286	BFG	3	SemiceMod	name	
u00287	Build Extractor - Excavation Zone	3	SemiceMod	name	
u00288	Build Extractor - Manufacturing Sector	3	SemiceMod	name	
u00289	Build Extractor - Processing Facilities	3	SemiceMod	name	
u00290	Build Extractor - Science Labs	3	SemiceMod	name	
u00291	CLASS FIVE INFESTATION	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00292	CLASS FOUR INFESTATION	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00293	CLASS SIX INFESTATION	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00294	CLASS THREE INFESTATION	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00295	CRITICAL ALERT: An enormous cocoon has been detected in an infested region!	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00296	CRITICAL ALERT: Power lines to security units cut! Security units permanently losing power!	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00297	Captured	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00298	Claws	3	SemiceMod	name	
u00299	Cloaking Device Malfunction! Cloak Disabled.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00300	Cloaking Device Malfunction! Weapon Cloaked.	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00301	Cold	3	SemiceMod	name	
u00302	Combat Accelerant Suit	3	SemiceMod	name	
u00303	Combat Shield Equipped	3	SemiceMod	name	
u00304	Combat Suit Equipped	3	SemiceMod	name	
u00305	Constriction Copy	3	SemiceMod	name	
u00306	Containment Facility:	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00307	"Create a protective barrier that absorbs <d ref=""1-Behavior,NovaStoneDefensiveMatrix,DamageResponse.ModifyFraction*100"" precision=""2""/>% of damage,  reflects 100% of melee damage  to attackers, and allows you to push enemies out of your way. It lasts <d ref=""Behavior,NovaStoneDefensiveMatrix,Duration""/> seconds.<n/><s val=""IdleButtonCharge""><c val=""FF8000"">""Keep all arms and legs inside the protective shield during operation. I don't want another accident. The last one took an hour to clean up...""<n/>                     --Dr. Andrew O'Neil</c></s>"	3	SemiceMod	tip	
u00308	Damage Strain	3	SemiceMod	unknown	
u00309	"Deals <d ref=""Effect,TossGrenadeDamage,Amount""/> area damage after a short delay.<n/><s val=""IdleButtonCharge""><c val=""FF8000"">""No, trust me. You count to seven before throwing, not four.""<n/>                 --Sgt. Philips, four seconds before death</c></s>"	3	SemiceMod	tip	
u00310	Debilitating Acid (Apply Behavior)	3	SemiceMod	name	
u00311	Deep Tunnel	3	FULLMap|MapMod|SemiceMod	name	
u00312	Default	3	SemiceMod	visible-other	
u00313	Defensive Matrix Equipped	3	SemiceMod	name	
u00314	Detonate Mining Charge	3	SemiceMod	name	
u00315	Door shut by infestation!	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00316	Drop pod cannot reach target location	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00317	Enable Auto-Harvesting	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00318	Enable Auto-Upgrade: Acceleration Drone	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00319	Enable Auto-Upgrade: Flame Turret	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00320	Enable Auto-Upgrade: Heavy Turret	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00321	Enable Auto-Upgrade: Recharge Drone	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00322	Enable Auto-Upgrade: Spec Ops Auto Turret	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00323	Enable Auto-Upgrade: Spec Ops Repair Drone	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00324	Energy Suit Equipped	3	SemiceMod	name	
u00325	Evolve Drop Pods	3	SemiceMod	name	
u00326	Evolve Monstrosity	3	SemiceMod	name	
u00327	Exit Dropship	3	SemiceMod	tip	
u00328	Flying Zombie	3	SemiceMod	name	
u00329	Frost Queen	3	SemiceMod	name	
u00330	Fuel Distribution Center	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00331	Fuel Distribution:	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00332	Fuel Loaded	3	FULLMap|MapMod|SemiceMod	trigger-text	
u00333	Fueling process has been delayed by 	3	FULLMap|MapMod|SemiceMod	trigger-text	
