pkg	file	key	en	cls	include	flags
FULLMap	GameStrings	Button/Tooltip/SpawnBroodlings22	"<c val=""FF0000"">(LOW ENERGY)</c><n/><n/>Creates flying stablings at a reduced rate.<n/><n/><c val=""FFFF00"">Stablings slow the attack and movement speed of their targets while simultaneously leeching life off of them.</c>"	tip	1	
FULLMap	GameStrings	Button/Tooltip/SpawnOverseer2	"Launches flying leeches from a distance. Can evolve into a Dreamhacker.<n/><c val=""FFFF00"">Note: uses 16 supply, zombies will automatically be suicided if supply is not available</c>"	tip	1	
FULLMap	GameStrings	Button/Tooltip/SpawnVirophageAlpha	"A structure which destroys Kappa's hangar doors after <d ref=""Behavior,MeltDoorTimer,Duration""/> seconds."	tip	1	
FULLMap	GameStrings	Button/Tooltip/SpawnVirophageBeta	"A structure which destroys Sigma's hangar doors after <d ref=""Behavior,MeltDoorTimer,Duration""/> seconds."	tip	1	
FULLMap	GameStrings	Button/Tooltip/SpawnVirophageDelta	"A structure which destroys Zeta's hangar doors after <d ref=""Behavior,MeltDoorTimer,Duration""/> seconds."	tip	1	
FULLMap	GameStrings	Button/Tooltip/Xenoray	An Alpha Zombie which can launch flying leeches from a distance. It quickly recovers energy out of combat.	tip	1	
FULLMap	GameStrings	Button/Tooltip/Xenowraith	An evolved Alpha Zombie which can rapidly launch cloaked flying leeches from a distance. It quickly recovers energy out of combat.	tip	1	
FULLMap	GameStrings	Button/Tooltip/homeostasis	Rapidly recovers energy out of combat.	tip	1	
FULLMap	GameStrings	DocInfo/DescLong	Map is still in BETA testing<n/><n/>-12/12/2024, Semicedevine	unknown	1	
FULLMap	GameStrings	DocInfo/DescShort	7	unknown	1	no-letters
FULLMap	GameStrings	DocInfo/Name	Oh No It's Zombies Abyssal Depths	name	1	
FULLMap	GameStrings	DocInfo/PatchNote001		unknown	1	empty-value,punct-only
FULLMap	GameStrings	DocInfo/PatchNote002	- Cracks HDR toned down to 1.0	unknown	1	
FULLMap	GameStrings	DocInfo/PatchNote003	- Adjustments on cliffs in the middle of the map	unknown	1	
FULLMap	GameStrings	DocInfo/PatchNote004	- Reaper cliffs update - original shape maintained, but no longer possible to siege a tank on it	unknown	1	
FULLMap	GameStrings	DocInfo/Screenshot01	A lone zombie looks ahead at an abandoned weapons locker sitting across a small junction.	unknown	1	
FULLMap	GameStrings	Effect/Name/AlphaZombieBurrow67	Alpha Zombie Turn to Burrow	name	1	
FULLMap	GameStrings	Effect/Name/ApplyRangeIncreaseBehavior	Escort Broodling Apply Range Increase Behavior	name	1	
FULLMap	GameStrings	Effect/Name/ApplyRangeIncreaseBehavior22	Escort Broodling Apply Instant Increase Height	name	1	
FULLMap	GameStrings	Effect/Name/ApplyRangeIncreaseBehavior222	Escort Broodling Apply Behavior Only Fire When Attacking	name	1	
FULLMap	GameStrings	Effect/Name/ApplyRangeIncreaseBehavior2222	Escort Broodling Remove Behavior from Caster Only Fire When Attacking	name	1	
FULLMap	GameStrings	Effect/Name/AttackPrecursor	Target Precursor	name	1	
FULLMap	GameStrings	Effect/Name/AttackSet	Enable Broodling	name	1	
FULLMap	GameStrings	Effect/Name/AttackSet2	Enable Broodling	name	1	
FULLMap	GameStrings	Effect/Name/BanelingBarrageInitialDelay	Baneling Barrage Initial Delay	name	1	
FULLMap	GameStrings	Effect/Name/BroodLordAddUnit	Add Unit	name	1	
FULLMap	GameStrings	Effect/Name/BroodLordBroodlingCopyVitals	Brood Lord Broodling Copy Vitals	name	1	
FULLMap	GameStrings	Effect/Name/BroodLordDispatch1	Brood Lord Dispatch 1	name	1	
FULLMap	GameStrings	Effect/Name/BroodLordHangerSet	Brood Lord Hanger Set	name	1	
FULLMap	GameStrings	Effect/Name/BroodLordHangerSet2	Brood Lord Hanger Set II	name	1	
FULLMap	GameStrings	Effect/Name/BroodlingAttackRandom	Broodling Attack Random	name	1	
FULLMap	GameStrings	Effect/Name/BroodlingAttackRandom2	Broodling Search Random	name	1	
FULLMap	GameStrings	Effect/Name/BroodlingAttackSwitch	Broodling Attack Switch	name	1	
FULLMap	GameStrings	Effect/Name/BroodlingDisruptHeal	Sluggish Claws Disrupt Heal	name	1	
FULLMap	GameStrings	Effect/Name/BroodlingEscortDamageApplyBehavior	Broodling Escort Damage Apply Behavior	name	1	
FULLMap	GameStrings	Effect/Name/BroodlingEscortDamageSearch	Broodling Escort Damage Search	name	1	
FULLMap	GameStrings	Effect/Name/BroodlingEscortDamageUnit2	Broodling Escort Damage Set	name	1	
FULLMap	GameStrings	Effect/Name/BroodlingEscortHide	Broodling Escort Hide	name	1	
FULLMap	GameStrings	Effect/Name/BroodlingEscortHide2	Broodling Escort Kill Missile	name	1	
FULLMap	GameStrings	Effect/Name/BroodlingImpactApplyBehaviorUnnamed	BroodlingImpactApplyBehavior (Unnamed)	name	1	
FULLMap	GameStrings	Effect/Name/BroodlingTimedLife2	Broodling Slow Timed Life	name	1	
FULLMap	GameStrings	Effect/Name/CloakFireApplyBehavior	Cloak Fire Apply Behavior	name	1	
FULLMap	GameStrings	Effect/Name/CloakFireApplyBehavior2	Cloak Fire Apply Behavior Temporary	name	1	
FULLMap	GameStrings	Effect/Name/CloakFireApplyBehavior3	Cloak Fire Remove Behavior	name	1	
FULLMap	GameStrings	Effect/Name/CloakFireApplyBehavior32	Cloak Fire Remove Behavior Delay	name	1	
FULLMap	GameStrings	Effect/Name/CloakFireApplyBehavior4	Cloak Fire II Apply Behavior	name	1	
FULLMap	GameStrings	Effect/Name/DamageSelf	Damage Self	name	1	
FULLMap	GameStrings	Effect/Name/Descend	Unsiege Descend Height	name	1	
FULLMap	GameStrings	Effect/Name/EnableEscortBroodlingWeapon	Enable Broodling	name	1	
FULLMap	GameStrings	Effect/Name/EnableEscortBroodlingWeapon2	Go Faster	name	1	
FULLMap	GameStrings	Effect/Name/EscortBroodlingLaunchSet	Escort Broodling Launch Set II	name	1	
FULLMap	GameStrings	Effect/Name/EscortBroodlingLaunchSet2	Escort Broodling Launch Set	name	1	
FULLMap	GameStrings	Effect/Name/ExplosionDamage22	Small Explosion (Damage)	name	1	
FULLMap	GameStrings	Effect/Name/GasCloud	Gas Cloud	name	1	
FULLMap	GameStrings	Effect/Name/GasCloud2	Gas Cloud	name	1	
FULLMap	GameStrings	Effect/Name/GasCloud3	Gas Cloud	name	1	
FULLMap	GameStrings	Effect/Name/GasCloud4	Maneuver	name	1	
FULLMap	GameStrings	Effect/Name/GasCloud5	Maneuver	name	1	
FULLMap	GameStrings	Effect/Name/GasCloud52	Cloaking Maneuver	name	1	
FULLMap	GameStrings	Effect/Name/GasCloud6	Gas Cloud	name	1	
FULLMap	GameStrings	Effect/Name/HercGrappleResetHeight	HercGrappleResetHeight	name	1	
FULLMap	GameStrings	Effect/Name/ManeuverCreatePersistent	Maneuver	name	1	
FULLMap	GameStrings	Effect/Name/ManeuverModifyUnit	Maneuver Modify Unit	name	1	
FULLMap	GameStrings	Effect/Name/NeedleClaws3	Sluggish Claws	name	1	
FULLMap	GameStrings	Effect/Name/NeedleClaws32	Sluggish Claws	name	1	
FULLMap	GameStrings	Effect/Name/PlasmaRifleDamage	Plasma Rifle (Old) (Damage)	name	1	
FULLMap	GameStrings	Effect/Name/PlasmaRifleDamage2	Plasma Rifle (Damage)	name	1	
FULLMap	GameStrings	Effect/Name/PsiBladesBurst	Psi Blades	name	1	
FULLMap	GameStrings	Effect/Name/PushSelf	Push Self Apply Force	name	1	
FULLMap	GameStrings	Effect/Name/PushSelfCreatePersistent	Push Self Create Persistent	name	1	
FULLMap	GameStrings	Effect/Name/SiegeApplyScopeStack	Siege Apply Scope Stack	name	1	
FULLMap	GameStrings	Effect/Name/SiegeCreatePersistent	Siege Create Persistent	name	1	
FULLMap	GameStrings	Effect/Name/SiegeCreatePersistent2	Siege Elevate Height	name	1	
FULLMap	GameStrings	Effect/Name/SiegeCreatePersistent3	Siege Delay	name	1	
FULLMap	GameStrings	Effect/Name/SiegeCreatePersistent32	Unsiege Delay	name	1	
FULLMap	GameStrings	Effect/Name/SiegeEnableAttack	Siege Enable Attack	name	1	
FULLMap	GameStrings	Effect/Name/SiegeEnableAttack2	Siege Enable Movement and Abilities	name	1	
FULLMap	GameStrings	Effect/Name/SiegeSet	Siege Set	name	1	
FULLMap	GameStrings	Effect/Name/SiegeSet2	Siege Disable Movement and Abilities	name	1	
FULLMap	GameStrings	Effect/Name/SiegeSet22	Siege Disable Attack	name	1	
FULLMap	GameStrings	Effect/Name/SluggishClawsApplyBehavior	Sluggish Claws	name	1	
FULLMap	GameStrings	Effect/Name/SluggishClawsPenalizeHealth	Sluggish Claws Penalize Health	name	1	
FULLMap	GameStrings	Effect/Name/SluggishClawsSet	Sluggish Claws	name	1	
FULLMap	GameStrings	Effect/Name/StopFakeMove	Stop (Fake Move)	name	1	
FULLMap	GameStrings	Effect/Name/TargetSingleBroodlingEscort	Enable Broodling	name	1	
FULLMap	GameStrings	Effect/Name/UnsiegeSet	Unsiege Set	name	1	
FULLMap	GameStrings	Effect/Name/ZagaraVoidCoopBanelingBarrageCP2	Biohazard Roll Attack CP	name	1	
FULLMap	GameStrings	LoadingScreen/Subtitle	"<s val=""Greybox_StandardTextButtonLarge""><c val=""74D5DD"">Abyssal Depths</c></s>"	tip	1	
FULLMap	GameStrings	Minimap_Icon_Alpha_Hangar	Kappa Hangar	unknown	1	
FULLMap	GameStrings	Minimap_Icon_Beta_Hangar	Sigma Hangar	unknown	1	
FULLMap	GameStrings	Minimap_Icon_Delta_Hangar	Zeta Hangar	unknown	1	
FULLMap	GameStrings	Param/Expression/lib_3977487D_792765A8	"<c val=""FF0000"">~A~</c>"	param-expression	0	markup-only
FULLMap	GameStrings	Param/Expression/lib_3977487D_A584C6FF	"<c val=""FF0000"">~A~</c>"	param-expression	0	markup-only
FULLMap	GameStrings	Param/Value/lib_3977487D_00048DC1	Containment Facility:	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_00C27D98	 seconds.	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_00FA09D8	 has slain an Oculus!	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_00FAA7C8	Only 	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_01766397	Player	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0190FE42	 has destroyed a royal cocoon! Preventing the Hive Queen from spawning!	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_01AFF4D2	Recovery is slower from cocoons	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_01BAC6EA	Error	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0201408B	 is controlling the hoarde.	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_02B2275B	 	trigger-text	1	empty-value,punct-only
FULLMap	GameStrings	Param/Value/lib_3977487D_03775FCD	Enable Auto-Upgrade: Recharge Drone	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_03FEA130	Only 	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0435EE8F	: 	trigger-text	1	punct-only,no-letters
FULLMap	GameStrings	Param/Value/lib_3977487D_0469B81C	"<s val=""AlertItem"">Buy better weapons at the weapons locker</s>"	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_05493794	 seconds.	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0625044B	Recovering biomass of 	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0645B714	Cannot locate infested areas (Security Mainframe compromised)	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_06CC8216	Containment Facility uninfested. Specimen countermeasures deployed. Four of five escaped specimens incapacitated.	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_06DE61D2	A Predator has hatched from its cocoon.	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_07219F82	 has slain an Aberration!	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0750138D	Awarded 	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0762B18C	The zombie player has been preselected	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0895EDE1	Security Mainframe: 	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_08A8D56F	WARNING: Class 5 Infestation confirmed. 70% of security forces neutralized, all security measures failing.	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0911474B	WARNING: An Extractor is forming in the 	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_09314EFA	Cannot locate infested areas (Security Mainframe compromised)	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_097DF548	 has voted to surrender	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0B5D43B7	 has slain the Queen!	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0BFE4B5B	Close Menu	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0C54CF04	An Anubalight has hatched from its cocoon.	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0CED2372	The 	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0D4B734D	Awarded 	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0D4E5E17	Enable Auto-Upgrade: Spec Ops Auto Turret	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0E6A155D	 has opted in	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0E6B6130	Power Generators: 	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_0EE8DD9B	 left behind	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_1025AAB6	Error	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_105651E3	Enable Auto-Harvesting	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_11BADB96	 gates...	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_12183A8D	"<s val=""AlertItem"">The <c val=""00FF40"">Mining Droid</c> will automately move to a Vespene Refinery afterwards, at which point you will receive 100 Vespene Gas (top-right).<s>"	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_12ADDF42	 more seconds before starting another vote	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_12B04134	It has been detected that you quit the last game. You are not allowed to opt-in until you complete a full match as a human player.	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_12CC9C95	 has prevented anybody from escaping!	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_12D56967	 	trigger-text	1	empty-value,punct-only
FULLMap	GameStrings	Param/Value/lib_3977487D_1310C406	Human rank of 	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_13BBE321	 	trigger-text	1	empty-value,punct-only
FULLMap	GameStrings	Param/Value/lib_3977487D_13BC9D6C	Show	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_14FC4E86	Instead of being killed, the zombies capture all players and encase them in cocoons. A trapped player becomes part of the hive mind and can track zombie movement to alert their teammates of potential ambushes. To be freed, any player must 'interact' with the cocoon by using the interact ability when in close proximity.	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_15CBD8F5	 has destroyed the Extractor in the Processing Facilities!	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_16AE1E4D	An Overseer has hatched from its cocoon.	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_17140945	Enable Auto-Upgrade: Acceleration Drone	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_1747E6DA	Humans Rescued: 	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_187713CC	"<s val=""AlertItem"">Vespene gas is used to buy equipment. Harvest gas by first placing down a <c val=""00FF40"">Mining Droid</c> near a Vespene Mine.<n/>(Picture: <img path=""Assets\Textures\btn-unit-terran-mule.dds""/>)"	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_19295912	Zombie rank of 	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_193D98F9	Players are running the tutorial, zombie supply and gas temporarily reduced.	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_196C766C	 seconds!	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_19C71DEF	. Estimated time to structural collapse: 	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_1A10A670		trigger-text	1	empty-value,punct-only
FULLMap	GameStrings	Param/Value/lib_3977487D_1A215A75	WARNING: An Extractor is forming in the 	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_1A4BB909	 has destroyed the Virophage at the 	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_1A877E37	Psi Disrupter activated. Commando team warping in to lock down area.	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_1AA3C63A	:	trigger-text	1	punct-only,no-letters
FULLMap	GameStrings	Param/Value/lib_3977487D_1B6A12B3	Humans have been given an extreme advantage. Good luck.	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_1D05A908		trigger-text	1	empty-value,punct-only
FULLMap	GameStrings	Param/Value/lib_3977487D_1D2BF664	CLASS SIX INFESTATION	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_1DAD70A3	Extractors can be destroyed instantly using Psi Disrupters or Mining Charges.	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_1E1C8C6F	A Psi Disrupter has been charging in an infested room for 25 seconds.	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_1EA2F0A2	Power Generator	trigger-text	1	
FULLMap	GameStrings	Param/Value/lib_3977487D_1EAF887A	 humans were able to escape!	trigger-text	1	
