uid	en	zh	status	model	flags
u00148	Security Mainframe Infested	安全主控被感染	ok	deepseek-flash	
u00149	Self Destruct	自毁	ok	deepseek-flash	
u00150	Spawn Aberration	生成畸变体	ok	deepseek-flash	
u00151	Spec Ops Sentry Gun	特种作战哨戒炮	warn	deepseek-flash	glossary?Sentry
u00152	Zombie	僵尸	ok	deepseek-flash	
u00153	 Hive mind has siphoned fuel, delaying fueling process by 	 虫巢意志已吸取燃料，使加注进程延迟 	ok	deepseek-flash	
u00154	 has destroyed a queen's cocoon! Preventing the Hive Queen from evolving!	 摧毁了一个女王的虫茧！阻止了虫巢女王的进化！	ok	deepseek-flash	
u00155	 has destroyed a queen's cocoon! Preventing the Queen from evolving!	 摧毁了一个女王的虫茧！阻止了女王的进化！	ok	deepseek-flash	
u00156	 has destroyed the Extractor in the Excavation Zone!	 摧毁了挖掘区的萃取机！	ok	deepseek-flash	
u00157	 has destroyed the Extractor in the Manufacturing Sector!	 摧毁了制造区的萃取机！	ok	deepseek-flash	
u00158	 has destroyed the Extractor in the Processing Facilities!	 摧毁了处理设施的萃取机！	ok	deepseek-flash	
u00159	 has slain a Dreamcatcher!	 击杀了一个捕梦者！	ok	deepseek-flash	
u00160	 has slain a Dreamhacker!	 击杀了一个梦境骇客！	ok	deepseek-flash	
u00161	 has slain an Overseer!	 击杀了一个督军！	ok	deepseek-flash	
u00162	 has slain the Queen!	 击杀了女王！	ok	deepseek-flash	
u00163	 more seconds before starting another vote	 秒后才能发起下一次投票	ok	deepseek-flash	
u00164	 now controls the horde	 现已控制虫群	ok	deepseek-flash	
u00166	Advanced Shield Suit	高级护盾装甲	ok	deepseek-flash	
u00167	Arc Welder	电弧焊枪	ok	deepseek-flash	
u00168	Artillery Strike	火炮打击	ok	deepseek-flash	
u00169	Biohazard	生化危害	ok	deepseek-flash	
u00170	Brood Lord Siege	巢虫领主围攻	ok	deepseek-flash	
u00103	Fuel Distribution Center re-infested. Divert fuel only speeds up launch countdown by 45 seconds.	燃料分配中心再次被感染。转移燃料只能使发射倒计时加快 45 秒。	ok	deepseek-flash	
u00104	Fuel Distribution Center uninfested. Diverting fuel will now speed up launch countdown by 60 seconds.	燃料分配中心已解除感染。转移燃料现在会使发射倒计时加快 60 秒。	ok	deepseek-flash	
u00105	Fuel Distribution Center:	燃料分配中心：	ok	deepseek-flash	
u00106	Gate control re-infested. All gates are unresponsive and randomly opening and closing.	闸门控制再次被感染。所有闸门失去响应，并随机开合。	ok	deepseek-flash	
u00107	Gate control uninfested. Gate functionality restored, gate integrity cannot be restored past 50% remotely.	闸门控制已解除感染。闸门功能已恢复，闸门完整度无法通过远程恢复至 50% 以上。	ok	deepseek-flash	
u00108	Micro Parasites	微型寄生体	ok	deepseek-flash	
u00109	Monstrosity	巨兽	ok	deepseek-flash	
u00110	Primary Power Generator re-infested. Generator functionality lost.	主发电机再次被感染。发电机功能丧失。	ok	deepseek-flash	
u00111	Primary Power Generator uninfested. Rolling power outages stopped.	主发电机已解除感染。轮流停电已停止。	ok	deepseek-flash	
u00112	Recharge	充能	ok	deepseek-flash	
u00113	Recovering cocoon biomass of 	正在回收虫茧生物质 	ok	deepseek-flash	
u00114	Secondary generator's infested. Hive mind can now control power outages.	副发电机被感染。虫巢意志现在能控制停电。	ok	deepseek-flash	
u00115	Spec Ops Psi Disruptor	特种作战幽能干扰器	ok	deepseek-flash	
u00116	The creep has evolved to regenerate zombie units.	菌毯已进化，可以再生僵尸单位。	ok	deepseek-flash	
u00117	The creep has evolved to reinforce structures and build them more quickly.	菌毯已进化，可以加固建筑并加快建造速度。	ok	deepseek-flash	
u00118	Vespene Processing Facility	瓦斯处理设施	ok	deepseek-flash	
u00119	WARNING: A Virophage is breaking down the door to the 	警告：一个噬菌体正在破坏通往 	ok	deepseek-flash	
u00120	WARNING: An Alpha Zombie has emerged from its cocoon.	警告：一个阿尔法僵尸已从虫茧中破出。	ok	deepseek-flash	
u00121	Warning: A creep tower has breached the surface.	警告：一座菌毯塔已冲破地表。	ok	deepseek-flash	
u00122	Zombies have evolved to move faster on creep.	僵尸已进化，在菌毯上移动更快。	ok	deepseek-flash	
u00124	Activate Thrusters	启动推进器	ok	deepseek-flash	
u00125	"Air unit. Bounces its shot to strike multiple targets.<n/><n/><c val=""ffff8a"">Can attack ground and air units.</c>"	"空中单位。其射击会弹射以打击多个目标。<n/><n/><c val=""ffff8a"">可以攻击地面和空中单位。</c>"	ok	deepseek-flash	
u00126	Assault Rifle	突击步枪	ok	deepseek-flash	
u00127	CLASS ONE INFESTATION	一级感染	ok	deepseek-flash	
u00128	Close Stats	关闭统计	ok	deepseek-flash	
u00129	Disable Auto-Harvesting	禁用自动采集	ok	deepseek-flash	
u00130	Disabled	已禁用	ok	deepseek-flash	
u00131	Does Not Have Blight Bringer Acid	没有枯萎使者酸液	ok	deepseek-flash	
u00132	Does Not Have Monstrosity Acid	没有巨兽酸液	ok	deepseek-flash	
u00133	Excavation Zone	挖掘区	ok	deepseek-flash	
u00134	Flying Zombie	飞行僵尸	ok	deepseek-flash	
u00039	Limit 1	上限 1	ok	deepseek-flash	
u00040	Ranks (Human)	军衔（人类）	ok	deepseek-flash	
u00041	Unable to locate cocoon (Security Mainframe compromised)	无法定位虫茧（安全主控已受损）	ok	deepseek-flash	
u00042	Warning: Subterranean organism has been detected burrowing towards the surface	警告：检测到地下生物正向地表挖掘	ok	deepseek-flash	
u00043	 changed.	 已变更。	ok	deepseek-flash	
u00044	 has destroyed the Virophage at the 	 已摧毁了位于 	warn	deepseek-flash	glossary?Virophage
u00045	Enable Broodling	启用巢虫	ok	deepseek-flash	
u00046	Extractors can be destroyed instantly using Psi Disrupters or Mining Charges.	使用幽能干扰器或采矿炸药可以瞬间摧毁萃取机。	ok	deepseek-flash	
u00047	Produces 250 gas over 20 minutes.	20 分钟内产出 250 瓦斯。	ok	deepseek-flash	
u00048	Psi Blades	幽能刃	ok	deepseek-flash	
u00049	Reduced Armor	降低护甲	ok	deepseek-flash	
u00050	Secure	确保	ok	deepseek-flash	
u00051	Sluggish Claws	迟缓之爪	ok	deepseek-flash	
u00052	Stats	统计	ok	deepseek-flash	
u00053	Vespene Mine	瓦斯矿	ok	deepseek-flash	
u00054	WARNING: A massive cocoon has been detected in an infested region.	警告：在感染区域内检测到一个巨型虫茧。	ok	deepseek-flash	
u00055	You must research this upgrade	你必须研究此升级	ok	deepseek-flash	
u00056	-kick [player index] : votes to kick the specified player<n/>-players : displays all players and their indexes<n/>-stats [player index]: Displays a players stats for this match<n/>-lifestats [player index]: Displays a player's recorded stats over all matches played (Does not include current match)<n/>-afk: Orders your marine to automitically mine the nearest route, cancled bu attack-moving, holding position, or repeating the comand<n/>-medics: pings all medics on the map<n/>-mines: pings all vespene mines on the map<n/>-refineries: pings all vespene refineries on the map<n/>-weapons lockers: pings all weapons lockers on the map<n/>-hangars: pings all hangars on the map	-kick [玩家编号]：投票踢出指定玩家<n/>-players：显示所有玩家及其编号<n/>-stats [玩家编号]：显示某玩家本场的统计<n/>-lifestats [玩家编号]：显示某玩家所有对战的记录统计（不包含当前对局）<n/>-afk：命令你的陆战队员自动采集最近的路线，攻击移动、原地防守或重复该命令可取消<n/>-medics：标记地图上所有医疗兵<n/>-mines：标记地图上所有瓦斯矿<n/>-refineries：标记地图上所有瓦斯精炼厂<n/>-weapons lockers：标记地图上所有武器柜<n/>-hangars：标记地图上所有机库	ok	deepseek-flash	
u00057	Face Enemy	面向敌人	ok	deepseek-flash	
u00058	Hive Queen	虫巢女王	ok	deepseek-flash	
u00059	Ignores 50% of armor	无视 50% 护甲	ok	deepseek-flash	
u00060	Must be near a weapons locker	必须在武器柜附近	ok	deepseek-flash	
u00061	Phasesaber	相位剑	ok	deepseek-flash	
u00062	Plasma Rifle	等离子步枪	ok	deepseek-flash	
u00063	Strains	株系	ok	deepseek-flash	
u00064	Sub Level Exit	地下层出口	ok	deepseek-flash	
u00065	Sub Level Exit Bug Fix	地下层出口错误修复	ok	deepseek-flash	
u00066	Virophage spawned. Door will be destroyed in 	噬菌体已生成。门将在 	ok	deepseek-flash	
u00067	Virophages can be instantly destroyed using Psi Disrupters or Mining Charges.	使用幽能干扰器或采矿炸药可以瞬间摧毁噬菌体。	ok	deepseek-flash	
u00068	Warning: A nydus worm has breached the surface.	警告：一只虫道虫已突破地表。	ok	deepseek-flash	
u00069	 Launch in:	 发射倒计时：	ok	deepseek-flash	
u00070	 departing in 	 离开倒计时 	ok	deepseek-flash	
u00071	 has been rescued by 	 已获救，救援者：	ok	deepseek-flash	
u00072	 has broken free of a cocoon!	 已从茧中挣脱！	ok	deepseek-flash	
u00073	 has destroyed a royal cocoon! Preventing the Hive Queen from spawning!	 摧毁了一个皇家虫茧！阻止了虫巢女王生成！	ok	deepseek-flash	
u00074	 has opened. 	 已开启。 	ok	deepseek-flash	
u00075	 has slain a Genesplicer!	 击杀了一只基因剪接者！	ok	deepseek-flash	
u00076	 has slain a Geneweaver!	 击杀了一只织基因者！	ok	deepseek-flash	
u00077	 has slain a Hunter!	 击杀了一只猎手！	ok	deepseek-flash	
u00078	 has slain a Legion Zombie!	 击杀了一只军团僵尸！	ok	deepseek-flash	
u00079	 has slain a Legionnaire Zombie!	 击杀了一只军团士兵僵尸！	ok	deepseek-flash	
u00080	 has slain a Predator!	 击杀了一只掠食者！	ok	deepseek-flash	
u00081	 has slain an Aberration!	 击杀了一只畸变体！	ok	deepseek-flash	
u00082	 has slain an Abomination!	 击杀了一只憎恶！	ok	deepseek-flash	
u00083	 has slain an Anubalight!	 击杀了一只阿努巴莱特！	ok	deepseek-flash	
u00084	 has slain an Anubalisk!	 击杀了一只阿努巴利斯克！	ok	deepseek-flash	
u00085	 has slain an Oculus!	 击杀了一只眼魔！	ok	deepseek-flash	
u00086	 has slain the Hive Queen!	 击杀了虫巢女王！	ok	deepseek-flash	
u00087	 vespene from creep tower...	 瓦斯，来自菌毯塔...	ok	deepseek-flash	
u00088	 vespene...	 瓦斯...	ok	deepseek-flash	
u00089	 will depart in 	 即将离开，倒计时 	ok	deepseek-flash	
u00090	. Estimated time to structural collapse: 	。结构崩塌预计时间：	ok	deepseek-flash	
u00091	Auto-Turret Upgrade	自动炮塔升级	ok	deepseek-flash	
u00092	Bio Mechanical Drone Upgrade	生物机械无人机升级	ok	deepseek-flash	
u00093	Cloaking Maneuver	隐形机动	ok	deepseek-flash	
u00094	Close Menu	关闭菜单	ok	deepseek-flash	
u00095	Cocoons	虫茧	ok	deepseek-flash	
u00096	Containment Breach	收容失效	ok	deepseek-flash	
u00097	Containment Facility re-infested. Escaped specimens returning to sub-level.	收容设施再次被感染。逃脱的标本正在返回地下层。	ok	deepseek-flash	
u00098	Containment Facility uninfested. Specimen countermeasures deployed. Four of five escaped specimens incapacitated.	收容设施已清除感染。标本反制措施已部署。五只逃脱标本中四只已失去行动能力。	ok	deepseek-flash	
u00099	Contributions	贡献	ok	deepseek-flash	
u00100	Deadly specimens have been released from the Containment Facility, use extreme caution while entering zombie territory.	致命标本已从收容设施释放，进入僵尸领地时请极度谨慎。	ok	deepseek-flash	
u00101	Disable Auto-Upgrade	禁用自动升级	ok	deepseek-flash	
u00102	Failed to load fuel	装载燃料失败	ok	deepseek-flash	
u00273	"A cloaked scout.<n/>Limit of 3.<n/><s val=""IdleButtonCharge""><c val=""FF8000"">""It's basically an RC car with a camera attached.""<n/>                     --Dr. Andrew O'Neil</c></s>"	"一个隐形侦察单位。<n/>上限 3。<n/><s val=""IdleButtonCharge""><c val=""FF8000"">""它基本上就是一辆装了摄像头的遥控车。""<n/>                     --安德鲁·奥尼尔博士</c></s>"	ok	deepseek-flash	
u00274	"A long-ranged weapon which fires powerful rockets. Excellent against armored zombies.<n/><s val=""IdleButtonCharge""><c val=""FF8000"">""That's the second one who's tried jumping and aiming these at the ground this week.""<n/>                     --Medic Miranda Johnson</c></s>"	"一种发射强力火箭的远程武器。对抗装甲僵尸效果极佳。<n/><s val=""IdleButtonCharge""><c val=""FF8000"">""这已经是本周第二个想跳起来把这玩意儿对准地面的人了。""<n/>                     --医疗兵米兰达·约翰逊</c></s>"	ok	deepseek-flash	
u00275	"A mid-ranged weapon with a fast rate of fire. <n/><s val=""IdleButtonCharge""><c val=""FF8000"">""This weapon will be your bread and butter when facing any enemy that could threaten this facility. I named mine Sally.""<n/>                     --Sgt. Williams, briefing new recruits</c></s>"	"一种射速很快的中距离武器。<n/><s val=""IdleButtonCharge""><c val=""FF8000"">""当你面对任何可能威胁这座设施的敌人时，这把武器就是你的面包和黄油。我给我的那把起名叫莎莉。""<n/>                     --威廉姆斯中士，向新兵做简报</c></s>"	ok	deepseek-flash	
u00276	A new strain of zombie has been detected.	检测到一种新的僵尸株系。	ok	deepseek-flash	
u00277	A player has left the game, providing additional vespene as compensation.	一名玩家已离开游戏，作为补偿，提供了额外的瓦斯。	ok	deepseek-flash	
u00278	"A powerful long-range weapon. Excellent against Alpha Zombies and armored zombies. The scope also increases vision.<n/><s val=""IdleButtonCharge""><c val=""FF8000"">""How is it built? Magnifying glasses. Lots of magnifying glasses.""<n/>                     --Dr. Andrew O'Neil</c></s>"	"一种强力的远程武器。对抗阿尔法僵尸和装甲僵尸效果极佳。瞄准镜还能扩大视野。<n/><s val=""IdleButtonCharge""><c val=""FF8000"">""它是怎么造出来的？放大镜。很多很多放大镜。""<n/>                     --安德鲁·奥尼尔博士</c></s>"	ok	deepseek-flash	
u00279	"A powerful, short-ranged area weapon. Excellent against light units. <n/><c val=""EEEE00"">Note: Uses energy to fire.</c><n/><s val=""IdleButtonCharge""><c val=""FF8000"">""IT JUST TICKLES THEM!""<n/>                     --Cpl. Franklin, fighting alpha zombies with a flamethrower</c></s>"	"一种强力的短程范围武器。对抗轻型单位效果极佳。<n/><c val=""EEEE00"">注意：开火消耗能量。</c><n/><s val=""IdleButtonCharge""><c val=""FF8000"">""这只是在给他们挠痒痒！""<n/>                     --富兰克林下士，用火焰喷射器对抗阿尔法僵尸</c></s>"	ok	deepseek-flash	
u00280	A.I. Assistant Equipped	已装备人工智能助手	ok	deepseek-flash	
u00281	Advanced Auto Turret	高级自动炮塔	ok	deepseek-flash	
u00282	Advanced Exploration Droid	高级勘探机器人	ok	deepseek-flash	
u00283	Advanced Motion Sensor	高级运动传感器	ok	deepseek-flash	
u00284	Amon's Train Ignore Terrain Height	埃蒙的列车无视地形高度	ok	deepseek-flash	
u00285	An Aberration has hatched from its cocoon.	一只畸变体已从它的茧中孵化。	ok	deepseek-flash	
u00286	An Abomination has hatched from its cocoon.	一只憎恶已从它的茧中孵化。	ok	deepseek-flash	
u00287	An Anubalight has hatched from its cocoon.	一只阿努巴莱特已从它的茧中孵化。	ok	deepseek-flash	
u00288	An Anubalisk has hatched from its cocoon.	一只阿努巴利斯克已从它的茧中孵化。	ok	deepseek-flash	
u00289	An Oculus has hatched from its cocoon.	一只眼魔已从它的茧中孵化。	ok	deepseek-flash	
u00316	Combat Accelerant Suit	战斗加速剂装甲	ok	deepseek-flash	
u00317	Combat Shield Equipped	已装备战斗护盾	ok	deepseek-flash	
u00318	Combat Suit Equipped	已装备战斗装甲	ok	deepseek-flash	
u00319	Constriction Copy	缠绕复制	ok	deepseek-flash	
u00320	Containment Facility:	收容设施：	ok	deepseek-flash	
u00321	"Create a protective barrier that absorbs <d ref=""1-Behavior,NovaStoneDefensiveMatrix,DamageResponse.ModifyFraction*100"" precision=""2""/>% of damage,  reflects 100% of melee damage  to attackers, and allows you to push enemies out of your way. It lasts <d ref=""Behavior,NovaStoneDefensiveMatrix,Duration""/> seconds.<n/><s val=""IdleButtonCharge""><c val=""FF8000"">""Keep all arms and legs inside the protective shield during operation. I don't want another accident. The last one took an hour to clean up...""<n/>                     --Dr. Andrew O'Neil</c></s>"	"制造一道保护屏障，吸收 <d ref=""1-Behavior,NovaStoneDefensiveMatrix,DamageResponse.ModifyFraction*100"" precision=""2""/>% 的伤害，将 100% 的近战伤害反弹给攻击者，并让你能把敌人推开。它持续 <d ref=""Behavior,NovaStoneDefensiveMatrix,Duration""/> 秒。<n/><s val=""IdleButtonCharge""><c val=""FF8000"">“操作期间请将四肢都保持在防护盾内。我不想再出一次事故。上一次花了一个小时才清理干净……”<n/>                     --Andrew O'Neil 博士</c></s>"	ok	deepseek-flash	
u00322	DOM Corridor Floor	DOM 走廊地板	ok	deepseek-flash	
u00323	DOM Corridor Half	DOM 走廊半段	ok	deepseek-flash	
u00324	Damage Strain	伤害株系	ok	deepseek-flash	
u00325	"Deals <d ref=""Effect,TossGrenadeDamage,Amount""/> area damage after a short delay.<n/><s val=""IdleButtonCharge""><c val=""FF8000"">""No, trust me. You count to seven before throwing, not four.""<n/>                 --Sgt. Philips, four seconds before death</c></s>"	"短暂延迟后造成 <d ref=""Effect,TossGrenadeDamage,Amount""/> 点范围伤害。<n/><s val=""IdleButtonCharge""><c val=""FF8000"">“不，相信我。你得数到七再扔，不是四。”<n/>                 --Philips 中士，死于四秒后</c></s>"	ok	deepseek-flash	
u00326	Debilitating Acid (Apply Behavior)	削弱酸液（施加行为）	ok	deepseek-flash	
u00327	Deep Tunnel	深层隧道	ok	deepseek-flash	
u00328	Default	默认	ok	deepseek-flash	
u00329	Defensive Matrix Equipped	已装备防御矩阵	ok	deepseek-flash	
u00330	Detonate Mining Charge	引爆采矿炸药	ok	deepseek-flash	
u00331	Devouring Maw	吞噬之喉	ok	deepseek-flash	
u00332	Doggo	狗狗	ok	deepseek-flash	
u00333	Door shut by infestation!	门被感染封住了！	ok	deepseek-flash	
u00334	Drop pod cannot reach target location	空投舱无法到达目标位置	ok	deepseek-flash	
u00335	Enable Auto-Harvesting	启用自动采集	ok	deepseek-flash	
u00336	Enable Auto-Upgrade: Acceleration Drone	启用自动升级：加速无人机	ok	deepseek-flash	
u00337	Enable Auto-Upgrade: Flame Turret	启用自动升级：火焰炮塔	ok	deepseek-flash	
u00338	Enable Auto-Upgrade: Heavy Turret	启用自动升级：重型炮塔	ok	deepseek-flash	
u00339	Enable Auto-Upgrade: Recharge Drone	启用自动升级：充能无人机	ok	deepseek-flash	
u00340	Enable Auto-Upgrade: Spec Ops Auto Turret	启用自动升级：特种作战自动炮塔	ok	deepseek-flash	
u00341	Enable Auto-Upgrade: Spec Ops Repair Drone	启用自动升级：特种作战维修无人机	ok	deepseek-flash	
u00342	Energy Suit Equipped	已装备能量装甲	ok	deepseek-flash	
u00343	Evolve Drop Pods	进化空投舱	ok	deepseek-flash	
u00344	Evolve Monstrosity	进化巨兽	ok	deepseek-flash	
u00002	 seconds.	 秒。	ok	deepseek-flash	
u00003	Already equipped	已装备	ok	deepseek-flash	
u00004	Already Equipped	已装备	ok	deepseek-flash	
u00006	Each broodling dispatched from the Cerberus brood lord can be controlled individually by a commander safe at a computer console, far away from the actual battle.	由地狱犬巢虫领主派出的每一只巢虫，都可以由一名安全地待在计算机控制台、远离实际战斗的指挥官单独控制。	ok	deepseek-flash	
u00007	Awarded 	获得 	ok	deepseek-flash	
u00008	Completed biomass recovery.	已完成生物质回收。	ok	deepseek-flash	
u00009	Error	错误	ok	deepseek-flash	
u00010	Sub Level Lift	地下层升降机	ok	deepseek-flash	
u00011	Weapons Locker	武器柜	warn	deepseek-flash	glossary?Locker
u00012	When using custom difficulty settings, player ranks will not be affected	使用自定义难度设置时，玩家军衔不会受到影响	ok	deepseek-flash	
u00013	 refinery.	 精炼厂。	ok	deepseek-flash	
u00014	Sub Level Lift Bug Fix	地下层升降机漏洞修复	ok	deepseek-flash	
u00015	WARNING: An Extractor is forming in the 	警告：一台萃取机正在以下位置形成： 	ok	deepseek-flash	
u00016	Weapons Locker DOM	武器柜 DOM	warn	deepseek-flash	glossary?Locker
u00017	 bonus vespene for achieving new infestation level.	 额外瓦斯，达成新感染等级。	ok	deepseek-flash	
u00018	Cannot locate infested areas (Security Mainframe compromised)	无法定位被感染区域（安全主控已受损）	ok	deepseek-flash	
u00019	NovaAcidPuddleSearchImpactAB	NovaAcidPuddleSearchImpactAB	warn	deepseek-flash	untranslated
u00020	Adhesive Acid	黏性酸液	ok	deepseek-flash	
u00021	Recovering biomass of 	正在回收生物质： 	ok	deepseek-flash	
u00022	 seconds!	 秒！	ok	deepseek-flash	
u00023	A mutation within an existing strain has been detected.	检测到现有株系内发生了突变。	ok	deepseek-flash	
u00024	Player	玩家	ok	deepseek-flash	
u00025	Strain Supply: 	株系补给： 	ok	deepseek-flash	
u00026	The 	 	warn	deepseek-flash	empty-zh
u00027	This unit's movement speed is reduced and it is continually taking damage.	该单位的移动速度降低，并且持续受到伤害。	ok	deepseek-flash	
u00028	 has destroyed a massive cocoon! Preventing the Alpha Zombie from spawning!	 摧毁了一个巨大的茧！阻止了阿尔法僵尸出现！	ok	deepseek-flash	
u00030	Gas Cloud	气体云	ok	deepseek-flash	
u00031	Maneuver	机动	ok	deepseek-flash	
u00032	Marine	陆战队员	ok	deepseek-flash	
u00033	Must not already be present	必须尚未存在	ok	deepseek-flash	
u00034	Reminder: Interact with rechargeable units to refill their energy.	提醒：与可充能单位互动以补充其能量。	ok	deepseek-flash	
u00035	 has escaped!	 已逃脱！	ok	deepseek-flash	
u00036	Alpha Zombie	阿尔法僵尸	ok	deepseek-flash	
u00037	Frenzy	狂热	ok	deepseek-flash	
u00038	Games Played (Human)	对战场次（人类）	ok	deepseek-flash	
u00290	"An experimental siege tank which runs on energy and uses your marine as a battery. The ares has powerful, long range, area of effect attacks and increased damage towards structures.<n/><c val=""EEEE00"">Note: The mech's energy can be recharged at weapons lockers.</c><n/><c val=""EEEE00"">Note: Your marine will lose all energy upon exiting the mech.</c><n/><s val=""IdleButtonCharge""><c val=""FF8000"">""Board says I can't make a giant mech...I'll show them...""<n/>                 --Engineer Dave</c>"	"一种实验性攻城坦克，以能量驱动，把你的陆战队员当作电池。阿瑞斯拥有强大的远程范围攻击，对建筑伤害更高。<n/><c val=""EEEE00"">注意：机械的能量可在武器柜处充能。</c><n/><c val=""EEEE00"">注意：你的陆战队员在离开机械后会失去所有能量。</c><n/><s val=""IdleButtonCharge""><c val=""FF8000"">“董事会说我造不了巨型机械……我会让他们看看的……”<n/>                 ——工程师戴夫</c>"	ok	deepseek-flash	
u00291	Anubalight	阿努巴莱特	ok	deepseek-flash	
u00292	Anubalisk	阿努巴利斯克	ok	deepseek-flash	
u00293	Arc Welder Equipped	已装备电弧焊机	ok	deepseek-flash	
u00294	Ares Laser Turret	阿瑞斯激光炮塔	ok	deepseek-flash	
u00295	Assault Rifle Equipped	已装备突击步枪	ok	deepseek-flash	
u00296	Attack Copy	攻击复制	ok	deepseek-flash	
u00297	"Attacks nearby zombies. Can be upgraded.<n/>Limit of 6.<n/><c val=""EEEE00"">Note: Turrets attack slower on creep.</c><n/><s val=""IdleButtonCharge""><c val=""FF8000"">""The friend-or-foe identification is a little wonky. Just don't call it any names or say the word 'brains' and you should be fine.""<n/>                     --Dr. Andrew O'Neil</c></s>"	"攻击附近的僵尸。可升级。<n/>上限 6 座。<n/><c val=""EEEE00"">注意：炮塔在菌毯上攻击速度降低。</c><n/><s val=""IdleButtonCharge""><c val=""FF8000"">“敌我识别有点不靠谱。只要别骂它，也别说出‘脑子’这个词，你就没事。”<n/>                     ——安德鲁·奥尼尔博士</c></s>"	ok	deepseek-flash	
u00298	Automated defensive turret. Attack speed reduced when on creep.	自动防御炮塔。在菌毯上攻击速度降低。	ok	deepseek-flash	
u00299	BFG	BFG	ok	deepseek-flash	
u00300	Blood Zombie	血僵尸	ok	deepseek-flash	
u00301	Build Extractor - Excavation Zone	建造萃取机 - 挖掘区	ok	deepseek-flash	
u00302	Build Extractor - Manufacturing Sector	建造萃取机 - 制造区	ok	deepseek-flash	
u00303	Build Extractor - Processing Facilities	建造萃取机 - 处理设施	ok	deepseek-flash	
u00304	Build Extractor - Science Labs	建造萃取机 - 科学实验室	ok	deepseek-flash	
u00305	CLASS FIVE INFESTATION	五级感染	ok	deepseek-flash	
u00306	CLASS FOUR INFESTATION	四级感染	ok	deepseek-flash	
u00307	CLASS SIX INFESTATION	六级感染	ok	deepseek-flash	
u00308	CLASS THREE INFESTATION	三级感染	ok	deepseek-flash	
u00309	CRITICAL ALERT: An enormous cocoon has been detected in an infested region!	严重警报：在被感染区域检测到巨大的虫茧！	ok	deepseek-flash	
u00310	CRITICAL ALERT: Power lines to security units cut! Security units permanently losing power!	严重警报：通往安保单位的电力线路被切断！安保单位将永久失去电力！	ok	deepseek-flash	
u00311	Captured	已捕获	ok	deepseek-flash	
u00312	Claws	利爪	ok	deepseek-flash	
